Location,2020 PCPI,2021 PCPI,2022 PCPI,2022 Rank
"Grand Forks, ND-MN",54502,58956,60462,115
"Grand Island, NE",47615,53961,54336,212
"Grand Junction, CO",48548,53194,54654,201
"Grand Rapids-Kentwood, MI",55061,60593,62131,100
"Grants Pass, OR",47955,51979,52166,249
"Great Falls, MT",50449,54549,57020,165
"Greeley, CO",51920,56592,58860,139
"Green Bay, WI",55818,59629,61179,108
"Greensboro-High Point, NC",47359,51593,52335,245
"Greenville, NC",48920,52716,53495,226
"Greenville-Anderson, SC",47775,51431,52202,248
"Gulfport-Biloxi, MS",41371,45715,45604,349
"Hagerstown-Martinsburg, MD-WV",48132,51858,52426,242
"Hammond, LA",43882,47748,47512,321
"Hanford-Corcoran, CA",41185,43818,42525,376
"Harrisburg-Carlisle, PA",57198,60777,60723,112
"Harrisonburg, VA",43349,48056,51466,260
"Hartford-East Hartford-Middletown, CT",66219,68802,69787,45
"Hattiesburg, MS",41115,44669,44507,368
"Hickory-Lenoir-Morganton, NC",44419,48547,49697,288
"Hilton Head Island-Bluffton, SC",61516,66613,67794,60
"Hinesville, GA",37628,40570,39616,382
"Homosassa Springs, FL",41602,45406,45330,354
"Hot Springs, AR",45130,47762,48507,307
"Houma-Thibodaux, LA",45589,49685,50394,278
"Houston, TX",59674,65477,68344,53
"Huntington-Ashland, WV-KY-OH",44094,47584,48311,309
"Huntsville, AL",54489,58638,59677,129
"Idaho Falls, ID",55948,57986,59280,132
"Indianapolis-Carmel-Anderson, IN",60412,66789,68719,49
"Iowa City, IA",56720,62250,64399,80
"Ithaca, NY",50472,50527,51169,264
"Jackson, MI",43423,46886,46409,340
"Jackson, MS",48660,53001,53606,224
"Jackson, TN",44579,49106,49028,301
"Jacksonville, FL",54849,60798,62729,95
"Jacksonville, NC",46781,51490,51585,259
"Janesville-Beloit, WI",47909,51955,52517,239
"Jefferson City, MO",48353,50673,51936,252
"Johnson City, TN",44278,48424,48978,303
"Johnstown, PA",46250,48961,47971,315
"Jonesboro, AR",41774,46152,45736,348
"Joplin, MO",41273,43890,44900,362
"Kahului-Wailuku-Lahaina, HI",52923,60287,60376,118
"Kalamazoo-Portage, MI",54818,58792,59619,130
"Kankakee, IL",47418,51692,51048,266
"Kansas City, MO-KS",57427,60710,63417,88
"Kennewick-Richland, WA",48096,52158,51799,253
"Killeen-Temple, TX",44975,48471,47680,319
"Kingsport-Bristol, TN-VA",43360,46851,47442,325
"Kingston, NY",58285,61224,62270,98
"Knoxville, TN",51776,57057,58239,145
"Kokomo, IN",43810,47388,47388,327
"La Crosse-Onalaska, WI-MN",53970,59519,60402,117
"Lafayette, LA",48671,53114,52503,240
"Lafayette-West Lafayette, IN",43329,47186,48158,313
"Lake Charles, LA",47028,51781,51799,253
"Lake Havasu City-Kingman, AZ",40229,42777,44645,366
"Lakeland-Winter Haven, FL",40807,43915,43223,372
"Lancaster, PA",57816,61775,63044,91
"Lansing-East Lansing, MI",47089,51544,50647,274
"Laredo, TX",37015,41051,40873,380
"Las Cruces, NM",40871,45649,45361,353
"Las Vegas-Henderson-Paradise, NV",52562,58388,59150,133
"Lawrence, KS",48676,51852,52799,235
"Lawton, OK",45691,48393,47719,317
"Lebanon, PA",52362,55937,56207,178
"Lewiston, ID-WA",48266,52368,54393,211
"Lewiston-Auburn, ME",45865,48186,49055,300
"Lexington-Fayette, KY",53274,56894,57875,152
"Lima, OH",46952,49896,50195,281
"Lincoln, NE",53446,59189,60299,121
"Little Rock-North Little Rock-Conway, AR",50911,54900,55848,182
"Logan, UT-ID",42741,48001,48059,314
"Longview, TX",46367,49559,50727,271
"Longview, WA",49999,54131,54630,202
"Los Angeles, CA",69362,75379,76445,21
"Louisville/Jefferson County, KY-IN",54631,60373,61490,104
"Lubbock, TX",48010,52033,52295,247
"Lynchburg, VA",44166,47456,48255,312
